feature_name,feature_pattern,feature_group,source_table,source_variable,time_window_start,time_window_end,aggregation,clinical_rationale,missingness_handling,is_binary,is_missingness_indicator,leakage_risk,allowed_for_model,notes
age,age|age_(young_adult|middle_aged|elderly|very_elderly),demographic,hosp/patients + hosp/admissions,"anchor_age, anchor_year, admittime",pre-ICU,ICU admission,"age at admission, capped at 90",Age is a strong baseline mortality risk factor.,no imputation expected; downstream median if missing,False,False,low,True,
gender_numeric,gender_numeric|gender_[A-Za-z0-9_]+,demographic,hosp/patients,gender,pre-ICU,ICU admission,binary or one-hot encoding,Sex may capture baseline demographic risk differences.,mode imputation if missing,True,False,low,True,
bmi,bmi,demographic,icu/chartevents,"height, weight",0h,6h,first valid height and weight in first 6 hours,Body habitus can affect acuity and physiologic reserve.,downstream median imputation plus bmi_measured flag,False,False,low,True,Legacy extraction previously used a wider BMI window; Phase 2 restricts this to 6h.
bmi_measured,bmi_measured|bmi_missing,missingness,icu/chartevents,"height, weight",0h,6h,observed flag,Anthropometric measurement availability can reflect care process.,binary missingness indicator,True,True,low,True,
vital_summary,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2)_(mean|min|max),vital,icu/chartevents,vital itemids,0h,6h,"time-weighted mean, min, or max",Early vital instability reflects acute physiologic risk.,downstream imputation plus measured flags,False,False,low,True,
vital_measured,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2)(_(mean|min|max))?_(measured|missing),missingness,icu/chartevents,vital itemids,0h,6h,observed flag,Measurement availability is informative in ICU care.,binary missingness indicator,True,True,low,True,
lab_summary,(bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(mean|min|max|delta),lab,hosp/labevents,lab itemids,0h,6h,"mean, min, max, or last minus first",Early laboratory derangements reflect organ dysfunction and severity.,downstream imputation plus measured flags,False,False,low,True,
lab_measured,(bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)(_(mean|min|max|delta))?_(measured|missing),missingness,hosp/labevents,lab itemids,0h,6h,observed flag,Lab ordering and missingness can reflect clinical concern.,binary missingness indicator,True,True,low,True,
urine_output_total,urine_output_(total|measured),fluid_balance,icu/chartevents,urine output itemids,0h,6h,sum or observed flag,Early oliguria can indicate renal or circulatory dysfunction.,downstream imputation plus measured flag,False,False,low,True,
time_window_value,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_hour_(0|1|2|3|4|6),time_window,icu/chartevents or hosp/labevents,vital/lab itemids,0h,6h,closest observed value inside configured first-6h window,Within-window trajectory can capture early deterioration.,downstream imputation,False,False,low,True,
